Time,Price
21872,1.29003
21873,1.28933
21874,1.2888
21875,1.28925
21876,1.28889
21877,1.28969
21878,1.28929
21879,1.28905
21880,1.28986
21881,1.28982
21882,1.29027
21883,1.29011
21884,1.29154
21885,1.29176
21886,1.29141
21887,1.29221
21888,1.29247
21889,1.29239
21890,1.29141
21891,1.29084
21892,1.29197
21893,1.29039
21894,1.29046
21895,1.29086
21896,1.29005
21897,1.28985
21898,1.29061
21899,1.29113
21900,1.2909
21901,1.29615
21902,1.29847
21903,1.29889
21904,1.29874
21905,1.29862
21906,1.29947
21907,1.29924
21908,1.29881
21909,1.30047
21910,1.3006
21911,1.30236
21912,1.30256
21913,1.30375
21914,1.30457
21915,1.30225
21916,1.30358
21917,1.3062
21918,1.3096
21919,1.30959
21920,1.30921
21921,1.31433
21922,1.31464
21923,1.31401
21924,1.31225
21925,1.31122
21926,1.31166
21927,1.31182
21928,1.31292
21929,1.31239
21930,1.31153
21931,1.31131
21932,1.31153
21933,1.31275
21934,1.31243
21935,1.31258
21936,1.313
21937,1.3129
21938,1.31209
21939,1.31078
21940,1.31014
21941,1.31093
21942,1.31189
21943,1.3097
21944,1.31182
21945,1.31478
21946,1.31352
21947,1.3124
21948,1.31171
21949,1.31074
21950,1.31034
21951,1.31059
21952,1.31152
21953,1.31133
21954,1.31137
21955,1.31074
21956,1.30928
21957,1.3105
21958,1.31031
21959,1.30987
21960,1.31039
21961,1.30921
21962,1.31016
21963,1.30777
21964,1.30793
21965,1.30597
21966,1.30641
21967,1.30605
21968,1.30678
21969,1.30602
21970,1.30547
21971,1.3052
21972,1.30409
21973,1.30356
21974,1.30354
21975,1.30367
21976,1.30463
21977,1.30433
21978,1.30422
21979,1.30449
21980,1.30411
21981,1.3039
21982,1.30437
21983,1.30482
21984,1.30709
21985,1.30808
21986,1.30654
21987,1.30636
21988,1.30274
21989,1.3013
21990,1.30044
21991,1.3005
21992,1.30221
21993,1.30194
21994,1.30578
21995,1.30693
21996,1.30672
21997,1.30507
21998,1.30617
21999,1.30562
22000,1.30478
22001,1.30453
22002,1.30481
22003,1.30566
22004,1.30502
22005,1.30313
22006,1.30155
22007,1.30041
22008,1.30026
22009,1.29858
22010,1.29665
22011,1.29641
22012,1.29667
22013,1.29438
22014,1.29521
22015,1.29526
22016,1.29458
22017,1.29265
22018,1.29506
22019,1.29469
22020,1.29423
22021,1.29491
22022,1.29684
22023,1.29665
22024,1.29676
22025,1.2965
22026,1.29697
22027,1.2973
22028,1.29761
22029,1.29695
22030,1.29804
22031,1.29759
22032,1.29851
22033,1.29887
22034,1.29838
22035,1.29731
22036,1.30358
22037,1.30272
22038,1.30065
22039,1.29764
22040,1.3034
22041,1.3018
22042,1.29857
22043,1.29909
22044,1.30017
22045,1.30002
22046,1.29894
22047,1.29844
22048,1.29785
22049,1.29789
22050,1.29734
22051,1.29665
22052,1.29728
22053,1.29344
22054,1.29377
22055,1.29484
22056,1.29455
22057,1.29456
22058,1.29456
22059,1.29519
22060,1.29041
22061,1.2911
22062,1.29054
22063,1.2921
22064,1.29053
22065,1.2911
22066,1.29151
22067,1.29085
22068,1.29138
22069,1.2919
22070,1.2934
22071,1.29259
22072,1.29299
22073,1.29304
22074,1.29307
22075,1.294
22076,1.29391
22077,1.29388
22078,1.29469
22079,1.29353
22080,1.29367
22081,1.28992
22082,1.29022
22083,1.28999
22084,1.2908
22085,1.28974
22086,1.29066
22087,1.29311
22088,1.29551
22089,1.29425
22090,1.29617
22091,1.29436
22092,1.29514
22093,1.29468
22094,1.29262
22095,1.29041
22096,1.28981
22097,1.29034
22098,1.28991
22099,1.28979
22100,1.291
22101,1.29056
22102,1.29
22103,1.2899
22104,1.28719
22105,1.28679
22106,1.28686
22107,1.28748
22108,1.2866
22109,1.28652
22110,1.28591
22111,1.2849
22112,1.28561
22113,1.28489
22114,1.284
22115,1.28522
22116,1.28616
22117,1.28551
22118,1.28585
22119,1.28636
22120,1.28717
22121,1.28735
22122,1.28736
22123,1.28774
22124,1.28695
22125,1.28846
22126,1.28781
22127,1.28794
22128,1.28805
22129,1.28933
22130,1.28883
22131,1.28849
22132,1.28758
22133,1.28528
22134,1.28625
22135,1.28582
22136,1.28784
22137,1.2874
22138,1.28611
22139,1.2873
22140,1.28951
22141,1.29149
22142,1.29147
22143,1.2911
22144,1.2912
22145,1.29139
22146,1.291
22147,1.29116
22148,1.29187
22149,1.29186
22150,1.29363
22151,1.293
22152,1.29332
22153,1.29289
22154,1.29254
22155,1.29301
22156,1.29454
22157,1.29408
22158,1.29219
22159,1.29308
22160,1.29278
22161,1.28946
22162,1.28629
22163,1.28555
22164,1.28746
22165,1.28621
22166,1.28508
22167,1.28489
22168,1.28587
22169,1.28488
22170,1.28332
22171,1.28065
22172,1.28183
22173,1.2814
22174,1.28128
22175,1.28203
22176,1.28213
22177,1.28287
22178,1.2843
22179,1.28667
22180,1.28931
22181,1.28991
22182,1.28965
22183,1.28819
22184,1.29233
22185,1.29076
22186,1.29056
22187,1.28988
22188,1.28949
22189,1.28963
22190,1.28855
22191,1.28879
22192,1.28877
22193,1.28859
22194,1.28899
22195,1.28875
22196,1.28919
22197,1.28996
22198,1.28997
22199,1.28936
22200,1.29007
22201,1.29124
22202,1.28899
22203,1.28964
22204,1.29129
22205,1.29106
22206,1.29169
22207,1.2925
22208,1.29214
22209,1.29348
22210,1.29341
22211,1.2949
22212,1.29398
22213,1.29289
22214,1.29141
22215,1.29177
22216,1.29187
22217,1.2916
22218,1.29177
22219,1.29108
22220,1.29088
22221,1.29099
22222,1.29053
22223,1.29024
22224,1.29018
22225,1.28976
22226,1.28927
22227,1.29121
22228,1.29158
22229,1.2926
22230,1.29047
22231,1.29032
22232,1.28977
22233,1.28982
22234,1.29009
22235,1.29079
22236,1.29072
22237,1.29026
22238,1.28978
22239,1.29021
22240,1.29049
22241,1.29084
22242,1.29193
22243,1.29224
22244,1.29139
22245,1.29111
22246,1.2926
22247,1.2925
22248,1.29309
22249,1.29225
22250,1.29461
22251,1.29467
22252,1.29321
22253,1.29437
22254,1.29502
22255,1.29502
22256,1.29832
22257,1.29745
22258,1.30049
22259,1.30002
22260,1.30171
22261,1.30267
22262,1.30181
22263,1.30183
22264,1.30171
22265,1.30163
22266,1.30199
22267,1.30121
22268,1.30153
22269,1.30183
22270,1.30156
22271,1.30123
22272,1.30155
22273,1.30062
22274,1.30015
22275,1.30049
22276,1.30003
22277,1.30059
22278,1.30085
22279,1.3006
22280,1.30201
22281,1.30569
22282,1.30591
22283,1.30573
22284,1.30518
22285,1.30305
22286,1.30321
22287,1.30286
22288,1.30231
22289,1.3019
22290,1.30147
22291,1.30112
22292,1.30118
22293,1.29973
22294,1.29897
22295,1.29875
22296,1.29825
22297,1.29881
22298,1.29736
22299,1.29722
22300,1.29617
22301,1.29496
22302,1.29607
22303,1.29678
22304,1.29732
22305,1.2968
22306,1.29753
22307,1.29736
22308,1.29712
22309,1.29648
22310,1.29697
22311,1.29672
22312,1.29675
22313,1.29664
22314,1.29745
22315,1.29814
22316,1.29771
22317,1.29795
22318,1.29857
22319,1.29821
22320,1.29867
22321,1.2975
22322,1.29239
22323,1.29258
22324,1.29353
22325,1.29251
22326,1.29504
22327,1.29337
22328,1.292
22329,1.28948
22330,1.28742
22331,1.28737
22332,1.28638
22333,1.28834
22334,1.28686
22335,1.28841
22336,1.28835
22337,1.28736
22338,1.28584
22339,1.28646
22340,1.28682
22341,1.2843
22342,1.28564
22343,1.28594
22344,1.28588
22345,1.28659
22346,1.28684
22347,1.28697
22348,1.28546
22349,1.28636
22350,1.28851
22351,1.28867
22352,1.28812
22353,1.29009
22354,1.28863
22355,1.2889
22356,1.28955
22357,1.28963
22358,1.28992
22359,1.28739
22360,1.28511
22361,1.28535
22362,1.28583
22363,1.28411
22364,1.28358
22365,1.28562
22366,1.28656
22367,1.28646
22368,1.28581
22369,1.28515
22370,1.28651
22371,1.28809
22372,1.28838
22373,1.2913
22374,1.29239
22375,1.2925
22376,1.29396
22377,1.29426
22378,1.29333
22379,1.29399
22380,1.29305
22381,1.29291
22382,1.29273
22383,1.29267
22384,1.29297
22385,1.2929
22386,1.29311
22387,1.2934
22388,1.29389
22389,1.29307
22390,1.29273
22391,1.29281
22392,1.2931
22393,1.29419
22394,1.29824
22395,1.29682
22396,1.29697
22397,1.29687
22398,1.29732
22399,1.29879
22400,1.29798
22401,1.2967
22402,1.29449
22403,1.29498
22404,1.29525
22405,1.2956
22406,1.29551
22407,1.29545
22408,1.29489
22409,1.29337
22410,1.28998
22411,1.29124
22412,1.29075
22413,1.29034
22414,1.29044
22415,1.29154
22416,1.29195
22417,1.29473
22418,1.29617
22419,1.29586
22420,1.29616
22421,1.29678
22422,1.29529
22423,1.2945
22424,1.2935
22425,1.29488
22426,1.29353
22427,1.29451
22428,1.29415
22429,1.29532
22430,1.29481
22431,1.29459
22432,1.29511
22433,1.2967
22434,1.29618
22435,1.29576
22436,1.29617
22437,1.29617
22438,1.29605
22439,1.29709
22440,1.29901
22441,1.30002
22442,1.30056
22443,1.30069
22444,1.30157
22445,1.30492
22446,1.30489
22447,1.30591
22448,1.30214
22449,1.30343
22450,1.30444
22451,1.30472
22452,1.30427
22453,1.30505
22454,1.30533
22455,1.30975
22456,1.30975
22457,1.31052
22458,1.30943
22459,1.30965
22460,1.30903
22461,1.30923
22462,1.30886
22463,1.3089
22464,1.31066
22465,1.30978
22466,1.30963
22467,1.31117
22468,1.3115
22469,1.31171
22470,1.31276
22471,1.31259
22472,1.31207
22473,1.31314
22474,1.31183
22475,1.31219
22476,1.31248
22477,1.31214
22478,1.31182
22479,1.31149
22480,1.31116
22481,1.31117
22482,1.31048
22483,1.31064
22484,1.311
22485,1.30881
22486,1.30971
22487,1.31065
22488,1.31056
22489,1.30901
22490,1.3102
22491,1.31089
22492,1.31083
22493,1.31053
22494,1.30985
22495,1.31036
22496,1.3091
22497,1.31076
22498,1.3102
22499,1.30842
22500,1.3064
22501,1.3072
22502,1.3066
22503,1.30679
22504,1.30735
22505,1.30678
22506,1.30663
22507,1.30701
22508,1.3069
22509,1.30691
22510,1.3068
22511,1.3076
22512,1.30539
22513,1.30694
22514,1.30511
22515,1.30428
22516,1.30504
22517,1.30426
22518,1.30571
22519,1.30437
22520,1.30298
22521,1.30214
22522,1.3024
22523,1.30199
22524,1.30216
22525,1.30201
22526,1.30231
22527,1.3027
22528,1.3021
22529,1.30365
22530,1.30376
22531,1.30448
22532,1.30369
22533,1.30469
22534,1.30567
22535,1.30567
22536,1.30413
22537,1.30444
22538,1.30568
22539,1.30703
22540,1.3065
22541,1.30563
22542,1.30552
22543,1.30697
22544,1.30624
22545,1.30586
22546,1.30448
22547,1.3045
22548,1.30565
22549,1.30593
22550,1.30649
22551,1.30655
22552,1.30698
22553,1.30634
22554,1.30557
22555,1.30545
22556,1.30526
22557,1.30565
22558,1.30509
22559,1.30363
22560,1.30273
22561,1.30299
22562,1.30311
22563,1.30057
22564,1.30062
22565,1.29654
22566,1.29687
22567,1.29634
22568,1.29698
22569,1.29749
22570,1.29714
22571,1.29726
22572,1.29789
22573,1.29858
22574,1.2984
22575,1.29817
22576,1.29732
22577,1.29805
22578,1.29875
22579,1.29805
22580,1.29879
22581,1.29863
22582,1.29791
22583,1.29917
22584,1.29596
22585,1.29319
22586,1.29345
22587,1.29353
22588,1.2944
22589,1.2954
22590,1.29727
22591,1.29679
22592,1.2945
22593,1.29532
22594,1.29567
22595,1.29732
22596,1.29601
22597,1.29727
22598,1.297
22599,1.29642
22600,1.29642
22601,1.29708
22602,1.29738
22603,1.29812
22604,1.29702
22605,1.29778
22606,1.29998
22607,1.29978
22608,1.30108
22609,1.30058
22610,1.30111
22611,1.29949
22612,1.29922
22613,1.29829
22614,1.29716
22615,1.29587
22616,1.29565
22617,1.29631
22618,1.29517
22619,1.29481
22620,1.29443
22621,1.29333
22622,1.29415
22623,1.29381
22624,1.29379
22625,1.29446
22626,1.29534
22627,1.29494
22628,1.29376
22629,1.29344
22630,1.29333
22631,1.29277
22632,1.29277
22633,1.29354
22634,1.29292
22635,1.28943
22636,1.28946
22637,1.29087
22638,1.29229
22639,1.2931
22640,1.29357
22641,1.29291
22642,1.2931
22643,1.29308
22644,1.29344
22645,1.29244
22646,1.29211
22647,1.29187
22648,1.29285
22649,1.29338
22650,1.29317
22651,1.29283
22652,1.29257
22653,1.29245
22654,1.2904
22655,1.28964
22656,1.29058
22657,1.29089
22658,1.28949
22659,1.28964
22660,1.29019
22661,1.29043
22662,1.29066
22663,1.28951
